DIQ;0;2;PAL
COB;2;0;UCH
UCO;0;0;EVE
DLS;2;0;CUN
CCO;2;1;ULC
OHI;1;1;DLS
EVE;1;0;DIQ
ULC;3;0;SWA
DAN;0;1;CCO
UCH;2;0;UCO
PAL;4;2;CUN
UCA;3;0;HUA
AIT;2;2;UES
COU;0;1;COB
SWA;3;0;CCO
DLS;1;1;EVE
UCH;0;1;OHI
CUN;2;0;DAN
UCO;1;1;PAL
HUA;4;3;ULC
DIQ;0;1;UCA
COB;1;2;AIT
UES;0;1;COU
UCA;1;1;CUN
CCO;1;0;EVE
ULC;1;2;UCO
PAL;2;2;UES
DAN;2;2;DLS
SWA;1;0;COB
AIT;2;0;HUA
OHI;2;2;DIQ
COU;0;1;UCH
UCO;1;1;CCO
EVE;2;1;AIT
UCH;1;1;PAL
UES;1;1;UCA
COB;3;1;DAN
DLS;0;3;ULC
CUN;1;3;OHI
HUA;4;0;SWA
DIQ;2;2;COU
CCO;0;0;UCH
PAL;3;2;COB
SWA;0;0;DLS
AIT;1;3;ULC
DAN;3;1;DIQ
HUA;4;1;UES
UCA;1;1;EVE
OHI;0;0;UCO
COU;0;0;CUN
DLS;1;2;UCA
ULC;1;1;DAN
CUN;1;3;SWA
OHI;0;0;AIT
EVE;1;3;PAL
UCH;3;0;UES
DIQ;0;0;CCO
UCO;2;1;COU
COB;2;1;HUA
DAN;1;0;OHI
UES;1;1;DLS
CUN;0;0;UCH
UCA;0;0;ULC
SWA;1;1;UCO
AIT;1;1;DIQ
COU;3;0;EVE
CCO;0;0;COB
HUA;1;0;PAL
DIQ;2;0;SWA
UCH;3;1;DAN
COB;4;1;UES
ULC;2;3;CUN
DLS;0;2;AIT
UCO;1;2;UCA
PAL;2;2;COU
EVE;1;0;HUA
OHI;1;1;CCO
