EVE;2;1;UCO
OHI;1;2;ULC
DAN;2;1;COU
AIT;4;1;COB
SWA;0;3;UCA
HUA;2;1;UCH
UES;3;2;DIQ
CUN;1;0;DLS
CCO;3;0;PAL
ULC;1;0;UES
UCO;0;2;SWA
PAL;1;0;HUA
UCH;5;1;CUN
COB;2;1;CCO
UCA;3;2;OHI
DIQ;2;2;EVE
DLS;0;1;DAN
COU;0;0;AIT
DLS;1;2;COB
HUA;1;1;UCO
UCH;3;0;ULC
CUN;1;0;DIQ
DAN;2;3;UCA
AIT;2;1;CCO
UES;1;1;PAL
OHI;2;1;SWA
EVE;1;0;COU
ULC;2;1;DLS
SWA;1;2;UCH
PAL;0;0;OHI
DIQ;0;4;DAN
COB;1;1;EVE
CCO;0;2;UCA
UCO;1;2;CUN
UES;1;2;AIT
COU;1;2;HUA
DAN;1;1;UCO
UCA;3;1;DIQ
HUA;1;0;COB
EVE;0;1;ULC
DLS;3;0;SWA
UCH;1;1;COU
AIT;0;1;PAL
CUN;1;0;CCO
OHI;1;3;UES
ULC;1;1;UCA
COB;1;1;DIQ
CCO;2;2;UCO
UES;2;0;EVE
COU;2;1;DLS
OHI;2;3;UCH
PAL;2;2;DAN
CUN;1;0;HUA
SWA;3;3;AIT
UCH;0;0;EVE
UCO;2;2;COB
DLS;1;2;CCO
DAN;0;0;CUN
DIQ;1;0;OHI
ULC;2;0;COU
SWA;1;2;PAL
HUA;2;1;AIT
UCA;0;1;UES
COB;0;1;UCA
EVE;0;0;DLS
COU;0;3;DIQ
UES;4;4;HUA
AIT;1;1;UCO
CCO;2;3;SWA
OHI;0;1;DAN
PAL;2;2;UCH
CUN;0;2;ULC
UCO;2;3;UES
PAL;1;0;EVE
ULC;2;2;COB
DLS;1;1;OHI
DIQ;1;0;HUA
UCA;4;1;COU
SWA;2;0;CUN
DAN;2;2;AIT
UCH;1;1;CCO
UCO;2;1;ULC
UES;2;1;SWA
HUA;1;3;UCA
COB;4;0;CUN
CCO;0;1;OHI
COU;1;0;PAL
AIT;2;1;DLS
DIQ;0;2;UCH
EVE;0;0;DAN
ULC;0;0;CCO
SWA;3;2;HUA
UCA;3;0;AIT
OHI;1;2;EVE
UCH;2;1;COB
DLS;0;1;UCO
CUN;2;1;COU
PAL;2;0;DIQ
DAN;2;0;UES
DIQ;0;3;ULC
UCO;1;4;OHI
COB;2;1;PAL
COU;2;1;SWA
HUA;1;1;DLS
EVE;2;2;UCA
AIT;0;0;CUN
UES;3;1;UCH
CCO;1;0;DAN
